pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type
622608,single,COL,LAD,Slider,85.1,111.3,18.0,365.0,line_drive
615698,single,COL,LAD,Split-Finger,86.3,96.7,-10.0,13.0,ground_ball
683627,home_run,COL,LAD,Changeup,86.5,103.4,34.0,436.0,fly_ball
683627,single,COL,LAD,Curveball,83.3,111.8,13.0,217.0,line_drive
678821,double,COL,LAD,4-Seam Fastball,95.1,102.7,7.0,142.0,ground_ball
615698,field_out,COL,LAD,4-Seam Fastball,94.7,101.9,-22.0,8.0,ground_ball
605397,single,LAD,SD,Curveball,82.2,102.8,5.0,89.0,ground_ball
605397,field_out,LAD,SD,Curveball,83.2,82.7,-35.0,3.0,ground_ball
656945,single,LAD,SD,Slider,86.4,88.3,-8.0,19.0,ground_ball
605397,field_out,LAD,SD,4-Seam Fastball,94.8,89.7,8.0,138.0,ground_ball
673513,double,LAD,SD,Slider,85.9,78.0,43.0,229.0,fly_ball
656302,double,LAD,SD,Slider,89.7,116.8,21.0,362.0,line_drive
656302,strikeout,LAD,SD,4-Seam Fastball,98.9,,,,
670970,single,LAD,SD,Sinker,96.1,108.6,1.0,63.0,ground_ball
656302,walk,LAD,SD,4-Seam Fastball,98.4,,,,
650633,field_out,LAD,SD,Slider,84.8,78.6,35.0,249.0,fly_ball
650633,walk,LAD,SD,Slider,84.6,,,,
656945,strikeout,LAD,SD,4-Seam Fastball,98.6,,,,
650633,double,LAD,SD,4-Seam Fastball,93.7,110.4,21.0,301.0,line_drive
622608,field_out,LAD,COL,Changeup,88.0,99.1,-2.0,33.0,ground_ball
622608,single,LAD,COL,4-Seam Fastball,96.4,105.9,-12.0,9.0,ground_ball
677955,single,LAD,COL,Changeup,85.4,88.2,-1.0,29.0,ground_ball
622608,single,LAD,COL,4-Seam Fastball,96.1,91.4,17.0,255.0,line_drive
678020,home_run,LAD,COL,Split-Finger,88.7,114.7,20.0,432.0,line_drive
615698,strikeout,LAD,COL,4-Seam Fastball,94.4,,,,
615698,walk,LAD,COL,Sinker,92.5,,,,
678821,hit_by_pitch,LAD,COL,Curveball,82.1,,,,
615698,field_out,LAD,COL,4-Seam Fastball,93.8,102.4,3.0,94.0,ground_ball
678020,single,LAD,COL,4-Seam Fastball,98.4,87.0,24.0,308.0,line_drive
607536,home_run,LAD,COL,4-Seam Fastball,92.1,110.1,27.0,423.0,fly_ball
607536,single,LAD,COL,Cutter,87.3,87.6,9.0,135.0,ground_ball
677955,single,LAD,COL,Changeup,85.8,92.3,-1.0,38.0,ground_ball
607536,strikeout,LAD,COL,Knuckle Curve,82.4,,,,
665795,single,MIA,LAD,Changeup,93.5,97.1,12.0,183.0,line_drive
666277,home_run,MIA,LAD,Slider,85.4,111.2,36.0,438.0,fly_ball
657508,home_run,MIA,LAD,Knuckle Curve,89.1,109.7,27.0,391.0,fly_ball
660644,home_run,MIA,LAD,Other,68.3,113.6,36.0,440.0,fly_ball
685107,double,MIA,LAD,4-Seam Fastball,95.2,105.1,15.0,266.0,line_drive
665795,double,MIA,LAD,Changeup,94.8,114.6,20.0,395.0,line_drive
677960,strikeout,MIA,LAD,4-Seam Fastball,96.6,,,,
677960,field_out,MIA,LAD,Changeup,86.5,86.6,61.0,171.0,popup
675540,field_out,MIA,LAD,Slider,87.7,109.3,18.0,343.0,line_drive
657508,strikeout,MIA,LAD,Knuckle Curve,89.3,,,,
677960,single,MIA,LAD,4-Seam Fastball,95.7,77.1,20.0,206.0,line_drive
670766,home_run,MIA,LAD,Sweeper,82.2,105.3,32.0,402.0,fly_ball
669199,strikeout,MIA,LAD,Split-Finger,87.1,,,,
622786,field_out,MIA,LAD,Changeup,88.8,73.5,-30.0,3.0,ground_ball
670766,strikeout,MIA,LAD,Sinker,90.0,,,,
685107,strikeout,MIA,LAD,4-Seam Fastball,96.2,,,,
608331,force_out,ATL,LAD,4-Seam Fastball,94.9,104.5,-8.0,19.0,ground_ball
608331,walk,ATL,LAD,4-Seam Fastball,95.6,,,,
592426,strikeout,ATL,LAD,Slider,88.6,,,,
608331,strikeout,ATL,LAD,Changeup,88.5,,,,
607481,fielders_choice,ATL,LAD,Sweeper,81.9,76.0,-7.0,18.0,ground_ball
450203,double,ATL,LAD,4-Seam Fastball,94.5,114.4,14.0,267.0,line_drive
450203,strikeout,ATL,LAD,4-Seam Fastball,95.8,,,,
669276,double,ATL,LAD,Slider,86.8,84.9,25.0,280.0,line_drive
450203,strikeout,ATL,LAD,Curveball,82.8,,,,
519242,field_out,ATL,LAD,Slider,80.7,38.2,41.0,88.0,ground_ball
519242,strikeout,ATL,LAD,4-Seam Fastball,98.4,,,,
519242,walk,ATL,LAD,Sinker,96.5,,,,
680885,field_out,ATL,LAD,Slider,87.4,98.7,49.0,297.0,fly_ball
680885,strikeout,ATL,LAD,Split-Finger,85.9,,,,
641729,strikeout,ATL,LAD,4-Seam Fastball,94.8,,,,
680885,field_out,ATL,LAD,Cutter,94.1,95.8,39.0,340.0,fly_ball
696136,single,LAD,CHC,Sinker,91.6,111.6,1.0,57.0,ground_ball
696136,walk,LAD,CHC,Sinker,93.0,,,,
542888,field_out,LAD,CHC,Cutter,90.6,87.2,29.0,326.0,fly_ball
624522,field_out,LAD,CHC,Cutter,89.8,94.9,40.0,326.0,fly_ball
696136,home_run,LAD,CHC,Slider,85.9,118.1,19.0,405.0,line_drive
684007,field_out,LAD,CHC,Sweeper,82.6,99.6,33.0,373.0,fly_ball
684007,grounded_into_double_play,LAD,CHC,Sweeper,82.1,110.0,0.0,45.0,ground_ball
663878,field_out,LAD,CHC,Slider,89.8,95.3,32.0,365.0,fly_ball
684007,field_out,LAD,CHC,4-Seam Fastball,92.7,95.7,59.0,198.0,popup
543294,single,LAD,CHC,Curveball,74.4,99.8,20.0,288.0,line_drive
543294,walk,LAD,CHC,Sinker,87.8,,,,
668338,strikeout,LAD,CHC,Curveball,77.7,,,,
543294,field_out,LAD,CHC,Changeup,81.5,64.5,63.0,129.0,popup
592767,single,LAD,CHC,Sinker,92.5,96.5,17.0,283.0,line_drive
676440,home_run,LAD,CLE,Changeup,83.6,116.7,34.0,450.0,fly_ball
676440,single,LAD,CLE,Cutter,90.6,72.3,28.0,240.0,fly_ball
676440,field_out,LAD,CLE,Cutter,88.0,96.8,46.0,301.0,fly_ball
671922,strikeout,LAD,CLE,4-Seam Fastball,97.4,,,,
681870,field_out,LAD,CLE,Slider,88.0,101.2,42.0,348.0,fly_ball
605130,strikeout,LAD,CLE,Slider,81.3,,,,
658648,field_out,LAD,CLE,4-Seam Fastball,91.0,99.5,3.0,68.0,ground_ball
668909,field_out,LAD,CLE,4-Seam Fastball,99.3,91.1,-38.0,4.0,ground_ball
571510,home_run,LAD,CLE,Sinker,88.8,111.2,38.0,413.0,fly_ball
571510,strikeout,LAD,CLE,Slider,79.4,,,,
683769,single,LAD,CLE,4-Seam Fastball,95.9,95.4,18.0,288.0,line_drive
571510,field_out,LAD,CLE,Sinker,93.4,99.5,29.0,393.0,fly_ball
656288,strikeout,LAA,LAD,Slider,87.8,,,,
656288,field_out,LAA,LAD,Changeup,89.5,95.9,24.0,365.0,fly_ball
519326,field_out,LAA,LAD,4-Seam Fastball,94.8,94.6,73.0,110.0,popup
656288,field_out,LAA,LAD,4-Seam Fastball,94.5,102.1,70.0,149.0,popup
672282,strikeout,LAA,LAD,4-Seam Fastball,94.8,,,,
672282,triple,LAA,LAD,Curveball,74.7,112.7,12.0,200.0,line_drive
650671,strikeout,LAA,LAD,4-Seam Fastball,95.6,,,,
672282,field_out,LAA,LAD,4-Seam Fastball,95.3,83.9,-10.0,16.0,ground_ball
593958,walk,AZ,LAD,Sinker,92.3,,,,
593958,field_out,AZ,LAD,Slider,84.1,96.5,-11.0,12.0,ground_ball
656756,single,AZ,LAD,Sinker,92.0,99.6,14.0,219.0,line_drive
677944,walk,AZ,LAD,Curveball,78.3,,,,
623149,strikeout,AZ,LAD,Sweeper,84.1,,,,
593958,single,AZ,LAD,Sinker,91.8,117.2,11.0,250.0,line_drive
694297,field_out,AZ,LAD,Sweeper,86.1,91.7,69.0,161.0,popup
694297,strikeout,AZ,LAD,4-Seam Fastball,95.2,,,,
573009,strikeout,AZ,LAD,Sinker,88.9,,,,
694297,strikeout,AZ,LAD,Changeup,87.9,,,,
518876,field_out,AZ,LAD,Changeup,89.0,94.0,-14.0,8.0,ground_ball
518876,sac_fly,AZ,LAD,Cutter,92.5,89.7,32.0,330.0,fly_ball
640462,strikeout,AZ,LAD,Sinker,94.0,,,,
679885,field_out,AZ,LAD,Split-Finger,91.2,113.5,13.0,281.0,line_drive
518876,home_run,AZ,LAD,Curveball,84.7,108.9,35.0,420.0,fly_ball
