pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type
676710,home_run,LAD,BOS,Cutter,85.9,116.7,28.0,473.0,fly_ball
676710,field_out,LAD,BOS,4-Seam Fastball,92.2,98.0,45.0,307.0,fly_ball
502624,walk,LAD,BOS,4-Seam Fastball,95.4,,,,
676710,strikeout,LAD,BOS,4-Seam Fastball,92.6,,,,
678394,double,LAD,BOS,Slider,87.9,112.7,7.0,200.0,line_drive
678394,field_out,LAD,BOS,Changeup,88.5,84.7,72.0,119.0,popup
592155,field_out,LAD,BOS,4-Seam Fastball,95.6,94.1,65.0,163.0,popup
678394,field_out,LAD,BOS,Slider,86.8,92.0,-19.0,7.0,ground_ball
601713,strikeout,LAD,BOS,Cutter,89.5,,,,
601713,strikeout,LAD,BOS,4-Seam Fastball,95.1,,,,
601713,strikeout,LAD,BOS,4-Seam Fastball,94.6,,,,
657514,double,LAD,BOS,Sinker,91.0,89.6,30.0,282.0,fly_ball
628317,single,DET,LAD,Split-Finger,86.8,108.5,7.0,156.0,ground_ball
663947,field_out,DET,LAD,Sinker,91.8,108.1,17.0,328.0,line_drive
605177,single,DET,LAD,4-Seam Fastball,94.2,97.2,12.0,210.0,line_drive
689225,field_out,DET,LAD,4-Seam Fastball,95.6,111.3,20.0,381.0,line_drive
672456,home_run,DET,LAD,Changeup,85.5,107.8,24.0,373.0,fly_ball
672456,strikeout,DET,LAD,Knuckle Curve,79.7,,,,
666214,force_out,DET,LAD,Cutter,87.2,93.5,-4.0,24.0,ground_ball
605177,walk,DET,LAD,Slider,83.5,,,,
672456,triple,DET,LAD,Changeup,86.8,91.5,15.0,208.0,line_drive
669373,field_out,DET,LAD,Sinker,96.6,95.4,26.0,314.0,fly_ball
669373,field_out,DET,LAD,Slider,90.3,99.4,53.0,241.0,fly_ball
689225,strikeout,DET,LAD,Changeup,88.6,,,,
663947,double,DET,LAD,Sinker,94.3,107.3,24.0,402.0,fly_ball
669373,field_out,DET,LAD,Sinker,97.5,92.4,1.0,57.0,ground_ball
605400,strikeout,PHI,LAD,4-Seam Fastball,94.5,,,,
605400,strikeout,PHI,LAD,Knuckle Curve,79.0,,,,
621381,field_out,PHI,LAD,Slider,81.1,81.4,1.0,45.0,ground_ball
605400,field_out,PHI,LAD,4-Seam Fastball,94.3,91.5,45.0,278.0,fly_ball
650911,single,PHI,LAD,Sinker,95.2,89.8,16.0,229.0,line_drive
650911,field_out,PHI,LAD,Sinker,94.7,70.9,-14.0,9.0,ground_ball
621381,strikeout,PHI,LAD,Slider,83.4,,,,
650911,single,PHI,LAD,Sinker,94.0,92.5,7.0,108.0,ground_ball
554430,walk,PHI,LAD,4-Seam Fastball,96.3,,,,
554430,single,PHI,LAD,Cutter,91.5,68.5,46.0,206.0,fly_ball
554430,strikeout,PHI,LAD,4-Seam Fastball,97.6,,,,
572971,field_out,LAD,MIL,Sinker,89.5,95.4,-28.0,5.0,ground_ball
572971,single,LAD,MIL,Sinker,88.7,109.2,11.0,209.0,line_drive
596001,strikeout,LAD,MIL,Sinker,94.1,,,,
572971,field_out,LAD,MIL,Sinker,87.3,85.6,-32.0,5.0,ground_ball
656730,strikeout,LAD,MIL,Knuckle Curve,87.4,,,,
642547,walk,LAD,MIL,4-Seam Fastball,97.3,,,,
642547,hit_by_pitch,LAD,MIL,Slider,82.2,,,,
669060,triple,LAD,MIL,Cutter,90.5,100.6,24.0,377.0,fly_ball
663542,home_run,LAD,MIL,Cutter,86.1,109.9,23.0,430.0,fly_ball
642547,walk,LAD,MIL,4-Seam Fastball,95.7,,,,
650644,strikeout,LAD,MIL,Sinker,92.9,,,,
650644,strikeout,LAD,MIL,Cutter,88.9,,,,
665625,field_out,LAD,MIL,Sinker,97.9,80.4,-39.0,3.0,ground_ball
663542,field_out,LAD,MIL,Sweeper,84.5,97.3,15.0,277.0,line_drive
650644,strikeout,LAD,MIL,Sweeper,79.3,,,,
668678,strikeout,LAD,AZ,4-Seam Fastball,94.4,,,,
668678,strikeout,LAD,AZ,Knuckle Curve,79.8,,,,
679885,strikeout,LAD,AZ,Split-Finger,89.3,,,,
668678,walk,LAD,AZ,4-Seam Fastball,97.6,,,,
691441,strikeout,LAD,AZ,Curveball,87.7,,,,
686826,field_out,LAD,AZ,Slider,86.5,110.2,18.0,318.0,line_drive
573009,field_out,LAD,AZ,Curveball,78.9,94.1,47.0,275.0,fly_ball
691441,single,LAD,AZ,Changeup,92.6,87.3,-2.0,34.0,ground_ball
669194,single,LAD,AZ,Cutter,90.5,72.0,26.0,228.0,fly_ball
669194,strikeout,LAD,AZ,4-Seam Fastball,95.7,,,,
679885,home_run,LAD,AZ,Slider,89.7,112.0,37.0,433.0,fly_ball
623149,strikeout,LAD,AZ,4-Seam Fastball,92.8,,,,
573009,double,LAD,AZ,Sinker,88.0,96.3,27.0,311.0,fly_ball
702352,strikeout,SF,LAD,Sweeper,82.2,,,,
702352,strikeout,SF,LAD,4-Seam Fastball,95.0,,,,
694738,field_out,SF,LAD,Changeup,87.9,93.2,52.0,264.0,fly_ball
643511,strikeout,SF,LAD,Slider,73.6,,,,
702352,field_out,SF,LAD,Cutter,91.1,93.8,1.0,52.0,ground_ball
675921,walk,SF,LAD,4-Seam Fastball,93.6,,,,
675921,home_run,SF,LAD,Slider,85.6,109.7,35.0,412.0,fly_ball
573124,field_out,SF,LAD,Sinker,92.9,84.6,42.0,259.0,fly_ball
669062,strikeout,SF,LAD,Slider,82.9,,,,
666808,strikeout,SF,LAD,Slider,90.1,,,,
657277,field_out,SF,LAD,Sinker,93.1,107.1,-19.0,8.0,ground_ball
643511,single,SF,LAD,Sinker,82.6,68.7,15.0,120.0,ground_ball
657277,strikeout,SF,LAD,Sinker,94.5,,,,
607200,field_out,CWS,LAD,Cutter,88.7,72.3,70.0,101.0,popup
607200,walk,CWS,LAD,Changeup,88.8,,,,
647336,walk,CWS,LAD,4-Seam Fastball,95.8,,,,
607200,home_run,CWS,LAD,Cutter,90.9,113.9,26.0,437.0,fly_ball
623167,single,CWS,LAD,Cutter,89.6,109.5,-9.0,8.0,ground_ball
623167,walk,CWS,LAD,4-Seam Fastball,93.5,,,,
605154,strikeout,CWS,LAD,4-Seam Fastball,95.4,,,,
621383,strikeout,CWS,LAD,Sinker,93.3,,,,
623167,home_run,CWS,LAD,Curveball,72.9,93.8,31.0,376.0,fly_ball
676979,strikeout,CWS,LAD,4-Seam Fastball,98.9,,,,
676979,field_out,CWS,LAD,Sweeper,85.0,76.2,-11.0,9.0,ground_ball
656629,sac_fly,CWS,LAD,Cutter,90.5,96.9,37.0,336.0,fly_ball
621383,walk,CWS,LAD,Slider,88.8,,,,
676979,strikeout,CWS,LAD,Cutter,91.2,,,,
668676,home_run,LAD,LAA,Slider,84.9,115.5,24.0,459.0,fly_ball
672710,field_out,LAD,LAA,Changeup,88.1,81.1,-7.0,16.0,ground_ball
668968,field_out,LAD,LAA,Changeup,87.3,87.8,-6.0,13.0,ground_ball
668676,field_out,LAD,LAA,Changeup,85.2,80.4,24.0,270.0,line_drive
608334,walk,LAD,LAA,4-Seam Fastball,93.6,,,,
663776,walk,LAD,LAA,Sinker,89.3,,,,
519043,home_run,LAD,LAA,4-Seam Fastball,91.1,113.1,27.0,455.0,fly_ball
663776,walk,LAD,LAA,Slider,89.1,,,,
472610,single,LAD,LAA,Split-Finger,87.5,94.5,4.0,68.0,line_drive
621389,strikeout,COL,LAD,Changeup,81.1,,,,
621389,walk,COL,LAD,Changeup,81.5,,,,
683627,field_out,COL,LAD,Changeup,82.7,95.4,38.0,378.0,fly_ball
621389,home_run,COL,LAD,Sinker,89.1,101.5,29.0,427.0,fly_ball
663372,field_out,COL,LAD,4-Seam Fastball,95.3,106.4,-10.0,15.0,ground_ball
663372,double,COL,LAD,4-Seam Fastball,96.5,108.5,12.0,265.0,line_drive
656234,strikeout,COL,LAD,Slider,86.1,,,,
683232,single,COL,LAD,Curveball,82.9,104.3,13.0,222.0,line_drive
663372,field_out,COL,LAD,4-Seam Fastball,94.7,93.4,64.0,206.0,fly_ball
596295,home_run,COL,LAD,Slider,83.9,113.0,30.0,476.0,fly_ball
596295,field_out,COL,LAD,Knuckle Curve,76.4,73.8,6.0,79.0,ground_ball
656222,field_out,COL,LAD,4-Seam Fastball,94.4,111.7,17.0,371.0,line_drive
596295,field_out,COL,LAD,Slider,86.2,97.7,-21.0,6.0,ground_ball
680767,single,COL,LAD,Changeup,91.3,115.3,-3.0,29.0,ground_ball
615698,double,COL,LAD,Split-Finger,85.3,100.2,18.0,311.0,line_drive
615698,single,COL,LAD,Split-Finger,85.2,107.3,-4.0,28.0,ground_ball
664875,field_out,COL,LAD,Sinker,94.6,104.0,-15.0,9.0,ground_ball
664129,walk,COL,LAD,Sinker,96.4,,,,
656234,double,COL,LAD,Sinker,95.1,104.3,11.0,232.0,line_drive
615698,field_out,COL,LAD,4-Seam Fastball,95.6,107.8,-10.0,12.0,ground_ball
663903,home_run,LAD,KC,Slider,79.7,110.7,39.0,400.0,fly_ball
663903,home_run,LAD,KC,Sinker,92.5,114.3,27.0,451.0,fly_ball
663903,walk,LAD,KC,Sinker,93.2,,,,
672582,field_out,LAD,KC,Slider,86.9,91.8,24.0,346.0,line_drive
607625,field_out,LAD,KC,4-Seam Fastball,93.7,98.5,-17.0,8.0,ground_ball
607625,field_out,LAD,KC,Curveball,82.5,100.0,8.0,130.0,ground_ball
607625,grounded_into_double_play,LAD,KC,4-Seam Fastball,91.9,104.0,-5.0,24.0,ground_ball
669674,walk,LAD,KC,4-Seam Fastball,93.4,,,,
666142,single,LAD,KC,Cutter,91.9,87.0,18.0,261.0,line_drive
666142,single,LAD,KC,Slider,86.5,105.8,3.0,79.0,ground_ball
519293,field_out,LAD,KC,Slider,83.0,83.4,56.0,195.0,popup
666142,field_out,LAD,KC,4-Seam Fastball,98.0,99.4,-3.0,24.0,ground_ball
547179,field_out,LAD,TEX,Cutter,91.1,96.1,-13.0,11.0,ground_ball
547179,field_out,LAD,TEX,Sinker,95.2,98.0,17.0,286.0,line_drive
502085,strikeout,LAD,TEX,Knuckle Curve,87.5,,,,
547179,field_out,LAD,TEX,Changeup,85.8,92.3,-6.0,19.0,ground_ball
592351,field_out,LAD,TEX,Changeup,89.2,112.5,15.0,321.0,line_drive
656641,field_out,LAD,TEX,4-Seam Fastball,94.1,104.4,58.0,228.0,fly_ball
592351,home_run,LAD,TEX,Slider,89.8,105.2,26.0,424.0,fly_ball
502085,strikeout,LAD,TEX,Knuckle Curve,85.8,,,,
641540,walk,LAD,TEX,Cutter,86.9,,,,
622786,hit_by_pitch,LAD,TEX,Slider,86.2,,,,
681982,home_run,LAD,TEX,4-Seam Fastball,92.2,114.2,23.0,433.0,fly_ball
641540,walk,LAD,TEX,Changeup,85.3,,,,
642546,strikeout,LAD,TEX,Slider,85.6,,,,
661563,field_out,NYY,LAD,Changeup,92.4,94.7,37.0,337.0,fly_ball
661563,field_out,NYY,LAD,Changeup,93.5,95.2,24.0,342.0,line_drive
596133,double,NYY,LAD,4-Seam Fastball,97.1,60.3,14.0,104.0,ground_ball
661563,field_out,NYY,LAD,4-Seam Fastball,97.7,79.2,48.0,245.0,fly_ball
641482,field_out,NYY,LAD,Sweeper,77.7,78.2,64.0,156.0,popup
641482,single,NYY,LAD,4-Seam Fastball,95.1,99.3,10.0,213.0,line_drive
642701,walk,NYY,LAD,Cutter,92.5,,,,
641482,strikeout,NYY,LAD,Cutter,88.5,,,,
592454,fielders_choice,NYY,LAD,4-Seam Fastball,95.5,73.1,3.0,59.0,ground_ball
547001,field_out,NYY,LAD,Sinker,93.4,112.8,16.0,359.0,line_drive
641656,field_out,NYY,LAD,Slider,90.8,107.8,5.0,109.0,ground_ball
547001,field_out,NYY,LAD,Sinker,94.3,98.1,-30.0,4.0,ground_ball
657571,field_out,NYY,LAD,4-Seam Fastball,95.7,98.7,40.0,325.0,fly_ball
624647,field_out,NYY,LAD,Slider,86.5,80.4,-3.0,20.0,ground_ball
663559,strikeout,PIT,LAD,Slider,85.9,,,,
663559,strikeout,PIT,LAD,Slider,85.3,,,,
693312,strikeout,PIT,LAD,Slider,93.7,,,,
621294,field_out,PIT,LAD,Cutter,89.4,106.4,-3.0,28.0,ground_ball
669387,force_out,PIT,LAD,Slider,88.7,103.1,1.0,50.0,ground_ball
663559,single,PIT,LAD,Slider,83.8,84.7,19.0,265.0,line_drive
694973,single,PIT,LAD,4-Seam Fastball,98.1,107.6,4.0,92.0,ground_ball
694973,home_run,PIT,LAD,4-Seam Fastball,100.1,105.6,32.0,415.0,fly_ball
694973,strikeout,PIT,LAD,4-Seam Fastball,100.8,,,,
547973,strikeout,PIT,LAD,Sinker,103.0,,,,
670059,field_out,PIT,LAD,Cutter,93.9,100.9,46.0,315.0,fly_ball
683003,strikeout,PIT,LAD,Slider,88.7,,,,
683003,grounded_into_double_play,PIT,LAD,Changeup,90.4,101.7,-11.0,15.0,ground_ball
683003,strikeout,PIT,LAD,4-Seam Fastball,101.0,,,,
547973,single,PIT,LAD,Split-Finger,91.8,100.1,-10.0,6.0,ground_ball
663567,catcher_interf,LAD,COL,4-Seam Fastball,94.1,,,,
596295,strikeout,LAD,COL,Knuckle Curve,77.0,,,,
663567,strikeout,LAD,COL,Changeup,88.1,,,,
596295,field_out,LAD,COL,Slider,83.9,76.7,50.0,214.0,fly_ball
615698,strikeout,LAD,COL,4-Seam Fastball,94.7,,,,
615698,walk,LAD,COL,Curveball,81.2,,,,
615698,field_out,LAD,COL,Split-Finger,86.8,94.2,59.0,219.0,fly_ball
642028,single,LAD,COL,4-Seam Fastball,89.9,113.1,0.0,54.0,ground_ball
641712,strikeout,LAD,COL,Curveball,81.2,,,,
641712,field_out,LAD,COL,Curveball,80.7,92.3,11.0,162.0,line_drive
680767,walk,LAD,COL,4-Seam Fastball,99.9,,,,
641712,field_out,LAD,COL,Sinker,91.0,105.0,-10.0,10.0,ground_ball
656849,single,NYM,LAD,Sinker,91.4,114.1,-5.0,21.0,ground_ball
656849,field_out,NYM,LAD,Changeup,85.6,96.5,-11.0,14.0,ground_ball
605347,home_run,NYM,LAD,Sinker,95.9,103.0,34.0,380.0,fly_ball
656849,field_out,NYM,LAD,4-Seam Fastball,96.5,100.8,24.0,333.0,fly_ball
518617,strikeout,NYM,LAD,Sinker,96.3,,,,
656731,field_out,NYM,LAD,Cutter,90.6,60.4,-20.0,8.0,ground_ball
656731,field_out,NYM,LAD,Cutter,90.8,60.6,-44.0,4.0,ground_ball
656731,strikeout,NYM,LAD,Slider,86.1,,,,
518617,force_out,NYM,LAD,4-Seam Fastball,97.8,88.5,-30.0,3.0,ground_ball
605347,strikeout,NYM,LAD,Slider,86.2,,,,
686730,single,CIN,LAD,Changeup,86.2,113.5,8.0,162.0,line_drive
607259,field_out,CIN,LAD,Changeup,80.6,87.3,-18.0,6.0,ground_ball
686730,strikeout,CIN,LAD,Sweeper,83.6,,,,
608718,field_out,CIN,LAD,Slider,79.3,82.0,-5.0,24.0,ground_ball
668881,triple,CIN,LAD,Split-Finger,87.3,102.1,-2.0,32.0,ground_ball
668881,strikeout,CIN,LAD,Split-Finger,88.0,,,,
594580,strikeout,CIN,LAD,Sweeper,82.4,,,,
668881,strikeout,CIN,LAD,Split-Finger,87.4,,,,
668933,field_out,CIN,LAD,Sinker,95.7,93.0,-38.0,3.0,ground_ball
668933,field_out,CIN,LAD,Changeup,91.4,97.4,-24.0,5.0,ground_ball
608371,field_out,CIN,LAD,4-Seam Fastball,94.9,85.2,67.0,131.0,popup
594580,field_out,CIN,LAD,Sweeper,82.7,65.5,51.0,181.0,popup
668933,force_out,CIN,LAD,Cutter,96.4,87.6,-2.0,34.0,ground_ball
669194,field_out,LAD,AZ,Cutter,90.5,102.3,39.0,349.0,fly_ball
669194,field_out,LAD,AZ,4-Seam Fastball,96.3,101.1,2.0,61.0,ground_ball
676714,single,LAD,AZ,Slider,83.6,73.0,15.0,157.0,line_drive
573009,field_out,LAD,AZ,Sinker,89.2,94.7,-15.0,10.0,ground_ball
694297,single,LAD,AZ,Changeup,87.0,102.6,0.0,41.0,ground_ball
694297,double,LAD,AZ,4-Seam Fastball,95.0,94.2,14.0,235.0,line_drive
694297,strikeout,LAD,AZ,Sweeper,84.6,,,,
573009,field_out,LAD,AZ,Curveball,77.4,107.0,46.0,329.0,fly_ball
677944,field_out,LAD,AZ,4-Seam Fastball,93.2,103.5,40.0,345.0,fly_ball
677944,walk,LAD,AZ,4-Seam Fastball,93.7,,,,
686826,field_out,LAD,AZ,4-Seam Fastball,94.1,114.1,6.0,130.0,line_drive
573009,field_error,LAD,AZ,Sinker,90.2,44.3,-57.0,2.0,ground_ball
668881,hit_by_pitch,LAD,CIN,Slider,88.3,,,,
668881,field_out,LAD,CIN,Split-Finger,86.1,90.6,41.0,296.0,fly_ball
664747,single,LAD,CIN,4-Seam Fastball,94.0,100.3,11.0,164.0,line_drive
668881,strikeout,LAD,CIN,4-Seam Fastball,98.8,,,,
594580,single,LAD,CIN,Sweeper,81.7,80.6,-1.0,35.0,ground_ball
668933,field_out,LAD,CIN,Slider,87.4,98.9,57.0,238.0,fly_ball
668933,field_out,LAD,CIN,Cutter,96.4,78.8,-39.0,4.0,ground_ball
686730,field_out,LAD,CIN,Changeup,86.8,100.7,2.0,60.0,ground_ball
668933,field_out,LAD,CIN,Cutter,97.9,72.7,-10.0,17.0,ground_ball
593423,strikeout,LAD,CIN,Split-Finger,86.0,,,,
593423,home_run,LAD,CIN,4-Seam Fastball,95.3,104.5,28.0,368.0,fly_ball
518585,force_out,LAD,CIN,Split-Finger,82.2,100.5,-3.0,38.0,ground_ball
593423,field_out,LAD,CIN,4-Seam Fastball,96.2,107.3,-1.0,42.0,ground_ball
607259,strikeout,LAD,CIN,Changeup,80.8,,,,
607259,field_out,LAD,CIN,Changeup,82.8,85.9,81.0,38.0,popup
608718,walk,LAD,CIN,Slider,78.7,,,,
657277,single,SF,LAD,Sinker,91.9,103.1,-11.0,12.0,ground_ball
657277,strikeout,SF,LAD,Sweeper,83.3,,,,
666808,single,SF,LAD,Cutter,101.0,95.7,13.0,256.0,line_drive
657277,walk,SF,LAD,Sinker,93.4,,,,
669062,strikeout,SF,LAD,4-Seam Fastball,99.3,,,,
676775,single,SF,LAD,Sinker,92.3,109.4,10.0,281.0,line_drive
676775,home_run,SF,LAD,Slider,88.7,113.4,29.0,446.0,fly_ball
678495,double,SF,LAD,4-Seam Fastball,97.6,90.4,15.0,236.0,line_drive
687014,field_out,SF,LAD,Cutter,88.5,100.8,4.0,77.0,ground_ball
676775,field_out,SF,LAD,4-Seam Fastball,97.6,85.5,53.0,246.0,fly_ball
663855,single,SF,LAD,Sinker,98.6,86.8,-46.0,2.0,ground_ball
663855,force_out,SF,LAD,Sinker,95.2,109.5,-11.0,15.0,ground_ball
669062,strikeout,SF,LAD,Slider,83.9,,,,
663855,single,SF,LAD,Sinker,95.0,106.0,12.0,194.0,line_drive
573124,strikeout,SF,LAD,Sweeper,78.8,,,,
663362,walk,SD,LAD,Knuckleball,75.2,,,,
663362,field_out,SD,LAD,Knuckleball,80.8,100.0,36.0,350.0,fly_ball
666745,field_out,SD,LAD,Sinker,96.5,68.4,-57.0,2.0,ground_ball
663362,field_out,SD,LAD,4-Seam Fastball,92.7,88.6,32.0,303.0,fly_ball
650633,field_out,SD,LAD,Changeup,85.9,72.2,2.0,47.0,ground_ball
650633,single,SD,LAD,Sinker,92.6,78.9,26.0,247.0,line_drive
650633,strikeout,SD,LAD,Sinker,93.6,,,,
673513,double,SD,LAD,Slider,87.1,107.2,13.0,299.0,line_drive
677960,field_out,LAD,MIA,Sinker,97.1,105.0,14.0,284.0,line_drive
677960,strikeout,LAD,MIA,Sweeper,84.5,,,,
677053,field_out,LAD,MIA,4-Seam Fastball,95.1,91.3,57.0,220.0,fly_ball
677960,strikeout,LAD,MIA,4-Seam Fastball,95.7,,,,
665795,walk,LAD,MIA,4-Seam Fastball,94.9,,,,
666277,field_out,LAD,MIA,Changeup,87.9,112.8,17.0,342.0,line_drive
572143,field_out,LAD,MIA,Cutter,88.5,97.3,47.0,272.0,fly_ball
665795,walk,LAD,MIA,Changeup,94.0,,,,
682610,single,LAD,MIA,Changeup,89.4,101.2,4.0,84.0,ground_ball
682610,strikeout,LAD,MIA,Sinker,95.7,,,,
681871,walk,LAD,MIA,Slider,83.1,,,,
682610,home_run,LAD,MIA,4-Seam Fastball,96.1,107.6,27.0,441.0,fly_ball
608331,single,LAD,ATL,Slider,83.4,75.0,16.0,203.0,line_drive
608331,single,LAD,ATL,4-Seam Fastball,98.4,97.4,-9.0,14.0,ground_ball
608331,home_run,LAD,ATL,Curveball,74.6,104.3,31.0,412.0,fly_ball
621345,home_run,LAD,ATL,4-Seam Fastball,93.8,110.6,26.0,464.0,fly_ball
693821,single,LAD,ATL,Sinker,90.3,95.0,11.0,214.0,line_drive
693821,home_run,LAD,ATL,4-Seam Fastball,90.2,103.4,34.0,392.0,fly_ball
669276,field_out,LAD,ATL,4-Seam Fastball,93.9,97.6,30.0,349.0,fly_ball
693821,strikeout,LAD,ATL,Slider,83.4,,,,
623451,single,LAD,ATL,Sinker,91.1,93.7,18.0,288.0,line_drive
450203,strikeout,LAD,ATL,4-Seam Fastball,94.1,,,,
450203,walk,LAD,ATL,4-Seam Fastball,94.7,,,,
621345,walk,LAD,ATL,4-Seam Fastball,94.3,,,,
450203,field_out,LAD,ATL,4-Seam Fastball,96.6,92.5,-37.0,4.0,ground_ball
628452,single,LAD,ATL,Changeup,88.5,84.9,8.0,149.0,ground_ball
686826,strikeout,AZ,LAD,Slider,88.3,,,,
676714,single,AZ,LAD,Slider,82.9,77.8,-2.0,36.0,ground_ball
543518,force_out,AZ,LAD,4-Seam Fastball,93.7,84.5,-16.0,11.0,ground_ball
657044,strikeout,AZ,LAD,4-Seam Fastball,91.0,,,,
573009,strikeout,AZ,LAD,Sinker,89.1,,,,
674072,grounded_into_double_play,AZ,LAD,Curveball,77.1,106.7,-17.0,7.0,ground_ball
663531,single,AZ,LAD,4-Seam Fastball,90.5,107.7,12.0,253.0,line_drive
685314,walk,AZ,LAD,Sinker,90.5,,,,
674072,single,AZ,LAD,Curveball,80.0,102.0,4.0,142.0,ground_ball
663531,field_out,AZ,LAD,Sweeper,83.1,79.3,5.0,78.0,ground_ball
592332,strikeout,TOR,LAD,4-Seam Fastball,96.4,,,,
592332,field_out,TOR,LAD,4-Seam Fastball,91.7,66.1,17.0,151.0,line_drive
554340,field_out,TOR,LAD,4-Seam Fastball,97.1,82.4,61.0,163.0,popup
592332,field_out,TOR,LAD,Split-Finger,83.2,106.6,22.0,401.0,fly_ball
579328,strikeout,TOR,LAD,Curveball,82.1,,,,
579328,single,TOR,LAD,4-Seam Fastball,98.2,119.2,6.0,153.0,line_drive
605447,field_out,TOR,LAD,Slider,85.3,102.6,34.0,370.0,fly_ball
579328,field_out,TOR,LAD,4-Seam Fastball,97.3,108.7,-3.0,31.0,ground_ball
650893,field_error,TOR,LAD,Cutter,89.7,76.7,-13.0,9.0,ground_ball
605135,walk,TOR,LAD,Sinker,92.9,,,,
663893,field_out,TOR,LAD,Knuckle Curve,87.0,48.0,14.0,65.0,ground_ball
670950,field_out,TOR,LAD,Changeup,78.6,73.6,-14.0,9.0,ground_ball
605135,home_run,TOR,LAD,Slider,83.2,96.1,37.0,360.0,fly_ball
641835,field_out,TOR,LAD,Sinker,91.7,112.8,1.0,73.0,ground_ball
669022,grounded_into_double_play,WSH,LAD,Cutter,92.5,89.5,1.0,50.0,ground_ball
669022,strikeout,WSH,LAD,4-Seam Fastball,97.4,,,,
607179,field_out,WSH,LAD,4-Seam Fastball,95.8,53.0,27.0,131.0,line_drive
669022,strikeout,WSH,LAD,4-Seam Fastball,98.3,,,,
663623,field_out,WSH,LAD,Cutter,89.3,99.4,27.0,381.0,fly_ball
663623,grounded_into_double_play,WSH,LAD,Cutter,90.5,96.3,4.0,77.0,ground_ball
598264,double,WSH,LAD,4-Seam Fastball,92.8,101.9,29.0,386.0,fly_ball
663432,double,WSH,LAD,4-Seam Fastball,93.9,105.7,11.0,250.0,line_drive
571882,strikeout,WSH,LAD,Slider,87.2,,,,
663623,double,WSH,LAD,4-Seam Fastball,96.7,115.6,13.0,323.0,line_drive
571578,field_out,WSH,LAD,Sinker,91.4,109.7,46.0,339.0,fly_ball
571578,field_out,WSH,LAD,Sinker,93.1,101.4,19.0,309.0,line_drive
571578,field_out,WSH,LAD,Slider,82.2,59.3,-19.0,5.0,ground_ball
607179,walk,WSH,LAD,4-Seam Fastball,94.9,,,,
598264,home_run,WSH,LAD,Split-Finger,85.6,118.7,25.0,450.0,fly_ball
605288,single,LAD,NYM,Sinker,92.8,101.0,-2.0,33.0,ground_ball
605288,home_run,LAD,NYM,Slider,81.7,110.0,30.0,423.0,fly_ball
701643,walk,LAD,NYM,Sweeper,83.4,,,,
605288,strikeout,LAD,NYM,Slider,84.0,,,,
676130,double,LAD,NYM,Slider,87.5,103.4,21.0,328.0,line_drive
676130,walk,LAD,NYM,4-Seam Fastball,95.6,,,,
676130,walk,LAD,NYM,Slider,86.8,,,,
622098,strikeout,LAD,NYM,Cutter,90.3,,,,
621242,walk,LAD,NYM,4-Seam Fastball,96.5,,,,
640455,single,LAD,NYM,Sweeper,78.6,107.8,11.0,263.0,line_drive
640455,walk,LAD,NYM,4-Seam Fastball,92.5,,,,
640455,field_out,LAD,NYM,Sinker,94.2,95.2,-28.0,5.0,ground_ball
518617,force_out,LAD,NYM,Sweeper,80.7,77.2,2.0,46.0,ground_ball
548384,strikeout,LAD,NYM,Sweeper,81.2,,,,
663623,single,LAD,WSH,Curveball,80.6,106.7,12.0,244.0,line_drive
663623,field_out,LAD,WSH,4-Seam Fastball,96.1,81.9,35.0,268.0,fly_ball
640451,single,LAD,WSH,4-Seam Fastball,98.6,99.0,13.0,276.0,line_drive
663623,single,LAD,WSH,Cutter,92.3,107.9,15.0,270.0,line_drive
571578,field_out,LAD,WSH,Sinker,91.2,97.0,43.0,321.0,fly_ball
571578,field_out,LAD,WSH,Sinker,92.4,96.9,-26.0,5.0,ground_ball
571578,field_out,LAD,WSH,Sinker,92.3,107.7,-9.0,15.0,ground_ball
663432,single,LAD,WSH,4-Seam Fastball,94.4,54.2,-73.0,1.0,ground_ball
571578,single,LAD,WSH,Sinker,92.4,93.1,13.0,238.0,line_drive
680730,strikeout,LAD,WSH,Curveball,80.3,,,,
680730,single,LAD,WSH,Curveball,80.6,107.3,-6.0,18.0,ground_ball
598264,catcher_interf,LAD,WSH,4-Seam Fastball,91.6,,,,
640451,field_out,LAD,WSH,4-Seam Fastball,98.6,98.4,16.0,303.0,line_drive
506433,strikeout,LAD,SD,Cutter,89.3,,,,
506433,field_out,LAD,SD,Cutter,92.0,77.3,61.0,184.0,popup
506433,strikeout,LAD,SD,Cutter,93.2,,,,
593974,single,LAD,SD,Changeup,87.7,108.6,8.0,185.0,line_drive
663362,field_out,LAD,SD,Cutter,86.7,55.6,38.0,149.0,line_drive
663362,walk,LAD,SD,Cutter,86.7,,,,
666745,field_out,LAD,SD,4-Seam Fastball,95.6,110.3,43.0,344.0,fly_ball
663362,walk,LAD,SD,Cutter,87.5,,,,
670970,sac_fly,LAD,SD,Sweeper,81.1,102.7,23.0,384.0,fly_ball
650633,double,LAD,SD,Slider,85.6,85.2,53.0,226.0,fly_ball
650633,field_out,LAD,SD,4-Seam Fastball,92.9,104.9,19.0,361.0,line_drive
650633,home_run,LAD,SD,4-Seam Fastball,95.4,107.3,25.0,403.0,fly_ball
673513,double,LAD,SD,Split-Finger,86.0,107.9,14.0,240.0,line_drive
